,subjects,variables,parameter,value
632,10,median,bias_1,100.0
633,11,median,bias_1,100.0
634,12,median,bias_1,100.0
635,13,median,bias_1,100.0
636,14,median,bias_1,100.0
637,15,median,bias_1,100.0
638,16,median,bias_1,100.0
639,17,median,bias_1,100.0
640,18,median,bias_1,100.0
641,19,median,bias_1,100.0
642,20,median,bias_1,100.0
643,21,median,bias_1,100.0
644,22,median,bias_1,100.0
645,23,median,bias_1,100.0
646,24,median,bias_1,100.0
647,25,median,bias_1,100.0
648,26,median,bias_1,100.0
649,27,median,bias_1,100.0
650,28,median,bias_1,100.0
651,29,median,bias_1,100.0
652,30,median,bias_1,100.0
653,31,median,bias_1,100.0
654,32,median,bias_1,100.0
655,33,median,bias_1,100.0
656,34,median,bias_1,100.0
657,35,median,bias_1,100.0
658,36,median,bias_1,100.0
659,37,median,bias_1,100.0
660,38,median,bias_1,100.0
661,39,median,bias_1,100.0
662,40,median,bias_1,100.0
663,41,median,bias_1,100.0
664,42,median,bias_1,100.0
665,43,median,bias_1,100.0
666,44,median,bias_1,100.0
667,45,median,bias_1,100.0
668,46,median,bias_1,100.0
669,47,median,bias_1,100.0
670,48,median,bias_1,100.0
671,49,median,bias_1,100.0
672,50,median,bias_1,100.0
673,51,median,bias_1,100.0
674,52,median,bias_1,100.0
675,53,median,bias_1,100.0
676,54,median,bias_1,100.0
677,55,median,bias_1,100.0
678,56,median,bias_1,100.0
679,57,median,bias_1,100.0
680,58,median,bias_1,100.0
681,59,median,bias_1,100.0
682,60,median,bias_1,100.0
683,61,median,bias_1,100.0
684,62,median,bias_1,100.0
685,63,median,bias_1,100.0
686,64,median,bias_1,100.0
687,65,median,bias_1,100.0
688,66,median,bias_1,100.0
689,67,median,bias_1,100.0
690,68,median,bias_1,100.0
691,69,median,bias_1,100.0
